,Time,prices,MCap,Volume,Open,High,Low,Close
559,1665446400000,52.55765346491077,69107968.6961229,3642027.3920851443,55.99,55.99,52.56,52.56
560,1665532800000,52.18778422865251,68819869.98231989,2671049.952739593,,,,
561,1665619200000,54.91712352220602,73085569.29346493,19997426.98543327,,,,
562,1665705600000,56.26932290433355,75560687.4849797,16848361.74276885,,,,
563,1665792000000,54.34415742511445,75304951.09329136,11323108.596636899,52.19,56.27,52.19,54.34
564,1665878400000,53.04529625647509,74579159.42352112,3554362.428624837,,,,
565,1665964800000,54.1029643367043,76207562.32580276,3528703.9159123595,,,,
566,1666051200000,54.959973737076886,77838827.8473554,5473455.163794542,,,,
567,1666137600000,53.722420140599596,76520130.28170317,3334080.7433268097,53.05,54.96,53.05,53.72
568,1666224000000,52.13883178564234,74631786.58537824,2751583.767519072,,,,
569,1666310400000,51.91346673739257,74283894.94850525,2763936.9875782304,,,,
570,1666396800000,52.05410343474259,74827231.9417371,2797044.0574226486,,,,
571,1666483200000,53.25730954553189,76583256.7327987,6557285.17932404,52.14,53.26,51.91,53.26
572,1666569600000,58.30833479211956,84068907.60396042,20418998.62162154,,,,
573,1666656000000,54.973616343148414,80081514.03876181,6857992.613732961,,,,
574,1666742400000,59.21343097216073,87071412.24148116,6653074.141508452,,,,
575,1666828800000,73.25123065049817,108400174.3415676,82634167.16793162,58.31,73.25,54.97,73.25
576,1666915200000,64.77364890868387,96588764.78237809,20104014.910118174,,,,
577,1667001600000,67.23890151778531,101077965.44041915,10721412.78119499,,,,
578,1667088000000,67.69317910761536,101817812.83898064,14809871.38375007,,,,
579,1667174400000,66.7503709897065,100719224.67925937,5639769.839545203,64.77,67.69,64.77,66.75
580,1667260800000,66.32702134833164,100149789.99812719,6332552.510139711,,,,
581,1667347200000,62.350244241883935,96095456.65914527,7088735.323031338,,,,
582,1667433600000,58.58150829381676,91030329.00583304,9160043.828625133,66.33,66.33,58.58,58.58
583,1667520000000,59.54384709804274,92633016.62931578,6235898.018827912,,,,
584,1667606400000,65.67892278903048,102377560.18163039,9027627.443507954,,,,
585,1667692800000,64.75662850597736,101125488.69978142,5751971.90677343,,,,
586,1667779200000,61.34962852241096,96145810.34297366,5222926.093696742,59.54,65.68,59.54,61.35
