"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2023","4.37","4.15","4.39","4.14","176.22K","5.30%"
"06/20/2023","4.15","3.94","4.16","3.88","140.77K","5.33%"
"06/19/2023","3.94","3.88","3.99","3.85","92.62K","1.55%"
"06/18/2023","3.88","3.97","3.99","3.86","75.78K","-2.27%"
"06/17/2023","3.97","3.89","4.05","3.86","113.71K","2.06%"
"06/16/2023","3.89","3.88","3.97","3.80","99.58K","0.00%"
"06/15/2023","3.89","3.78","3.91","3.75","166.11K","2.64%"
"06/14/2023","3.79","3.87","3.96","3.66","206.45K","-2.32%"
"06/13/2023","3.88","3.82","3.94","3.79","191.53K","1.57%"
"06/12/2023","3.82","3.74","3.84","3.64","187.18K","2.14%"
"06/11/2023","3.74","3.76","3.85","3.68","225.79K","-0.53%"
"06/10/2023","3.76","4.62","4.62","3.28","744.72K","-18.61%"
"06/09/2023","4.62","4.69","4.74","4.57","165.41K","-1.49%"
"06/08/2023","4.69","4.76","4.84","4.63","320.91K","-1.47%"
"06/07/2023","4.76","5.19","5.56","4.68","1.90M","-8.99%"
"06/06/2023","5.23","4.55","5.34","4.46","537.50K","14.95%"
"06/05/2023","4.55","5.11","5.12","4.40","256.62K","-10.96%"
"06/04/2023","5.11","5.21","5.26","5.10","52.52K","-1.92%"
"06/03/2023","5.21","5.21","5.30","5.17","67.86K","0.00%"
"06/02/2023","5.21","5.03","5.25","4.96","72.30K","3.58%"
"06/01/2023","5.03","4.97","5.14","4.89","121.83K","1.62%"
"05/31/2023","4.95","5.07","5.09","4.85","84.89K","-2.37%"
"05/30/2023","5.07","5.04","5.11","4.99","97.10K","0.60%"
"05/29/2023","5.04","5.11","5.12","4.98","184.75K","-1.37%"
"05/28/2023","5.11","4.82","5.40","4.79","434.49K","6.02%"
"05/27/2023","4.82","4.92","4.95","4.81","200.21K","-2.03%"
"05/26/2023","4.92","5.05","5.10","4.90","145.30K","-2.57%"
"05/25/2023","5.05","5.13","5.17","5.03","95.05K","-1.37%"
"05/24/2023","5.12","5.13","5.22","4.97","182.57K","-0.19%"
"05/23/2023","5.13","4.92","5.18","4.88","116.82K","4.27%"
"05/22/2023","4.92","4.80","4.92","4.70","92.39K","2.50%"
"05/21/2023","4.80","5.04","5.04","4.76","86.59K","-4.76%"
"05/20/2023","5.04","5.03","5.12","4.96","122.14K","0.20%"
"05/19/2023","5.03","4.98","5.08","4.94","107.29K","1.00%"
"05/18/2023","4.98","5.01","5.02","4.79","161.04K","-0.60%"
"05/17/2023","5.01","4.69","5.02","4.65","188.02K","6.82%"
"05/16/2023","4.69","4.66","4.71","4.56","107.72K","0.86%"
"05/15/2023","4.65","4.48","4.74","4.39","172.04K","3.79%"
"05/14/2023","4.48","4.69","4.69","4.45","241.75K","-4.48%"
"05/13/2023","4.69","4.83","4.84","4.66","71.58K","-2.90%"
"05/12/2023","4.83","4.73","4.83","4.56","127.20K","2.11%"
"05/11/2023","4.73","4.92","4.92","4.60","129.32K","-3.86%"
"05/10/2023","4.92","4.82","4.97","4.66","214.50K","2.07%"
"05/09/2023","4.82","4.64","4.82","4.62","126.68K","3.66%"
"05/08/2023","4.65","5.15","5.19","4.52","287.65K","-9.88%"
"05/07/2023","5.16","5.27","5.29","5.13","123.44K","-2.09%"
"05/06/2023","5.27","5.57","5.60","5.21","206.51K","-5.39%"
"05/05/2023","5.57","5.48","5.59","5.40","113.64K","1.64%"
"05/04/2023","5.48","5.54","5.55","5.40","103.88K","-0.72%"
"05/03/2023","5.52","5.41","5.57","5.25","96.38K","1.85%"
